TimeStamp,Date,Time,User,Tweet,Text,Location,Sentiment,Score,Pos_Score,Neg_Score,Neu_Score
2022-06-17 23:55:20+00:00,2022-06-17,23:55:20,SharonSandow,"In case you need a little extra #zen for #FathersDay, check out this #lotus #charm #bracelet in my #etsystore!… https://t.co/SXEQOuKfTm",in case you need a little extra zen for fathersday check out this lotus charm bracelet in my etsystore… httpstcosxeqoukftm,"Los Angeles, CA",1,0.4019,0.4019,0.0,0.0
2022-06-17 23:54:45+00:00,2022-06-17,23:54:45,MontisPervenit,Happy fathers day! #FathersDay #trailrunner #trailrun #hiking #philippines #pinoymountaineer https://t.co/73ltmwUIVd,happy fathers day fathersday trailrunner trailrun hiking philippines pinoymountaineer httpstcoltmwuivd,"Naga City, Camarines Sur",1,0.5719,0.5719,0.0,0.0
2022-06-17 23:53:49+00:00,2022-06-17,23:53:49,HansMaulwurf51,#FathersDay approaching management @sainsburys @Deliveroo decided to go heavy on stereotype drunk dad… because ALL… https://t.co/qJyzD9TdEP,fathersday approaching management sainsburys deliveroo decided to go heavy on stereotype drunk dad… because all… httpstcoqjyzdtdep,,-1,-0.5719,0.0,-0.5719,0.0
2022-06-17 23:53:26+00:00,2022-06-17,23:53:26,wallstwizz,"Hey dads .. just a few more days.
#FathersDay #DadLife #dad https://t.co/tAg9uhzJP4","hey dads  just a few more days
fathersday dadlife dad httpstcotaguhzjp",,0,0.0,0.0,0.0,0.0
2022-06-17 23:53:05+00:00,2022-06-17,23:53:05,OriginalDonJose,"Join us for Father's Day Champagne Brunch from $18.95
This Sunday, June 19th 
11:00am - 3:00pm 
9093 Adams Ave, Hun… https://t.co/6E8eSQrRkp","join us for fathers day champagne brunch from 
this sunday june th 
am  pm 
 adams ave hun… httpstcoeesqrrkp","Huntington Beach, CA",1,0.5267,0.5267,0.0,0.0
2022-06-17 23:52:33+00:00,2022-06-17,23:52:33,AmbersCare_,"Two holidays in one day, woot woot! I hope you have a great #FathersDay  and a great Juneteenth. I am thankful for… https://t.co/2b5Iy8TJwx",two holidays in one day woot woot i hope you have a great fathersday  and a great juneteenth i am thankful for… httpstcobiytjwx,,1,0.9719,0.9719,0.0,0.0
2022-06-17 23:51:28+00:00,2022-06-17,23:51:28,AyChristene,"Father's Day In, Celebrating Dads w/  @xHeyCharliex    @Tpindell   @physicalgamerz    @YaBoyRoshi    @V_Cruzzin  ​… https://t.co/thlUmjHXaC",fathers day in celebrating dads w  xheycharliex    tpindell   physicalgamerz    yaboyroshi    vcruzzin  ​… httpstcothlumjhxac,On The Back Of A Unicorn,1,0.5719,0.5719,0.0,0.0
2022-06-17 23:51:02+00:00,2022-06-17,23:51:02,ModrnDayQuixote,"Fun fact: I’ve never celebrated a #FathersDay   Dad split when I was five, and I never had children. Maybe the dog… https://t.co/H44Kcq7apV",fun fact i’ve never celebrated a fathersday   dad split when i was five and i never had children maybe the dog… httpstcohkcqapv,Nevada,1,0.0777,0.0777,0.0,0.0
2022-06-17 23:51:02+00:00,2022-06-17,23:51:02,companyofdads,"Shout out to all of our courageous #LeadDads! 💪 

📸: Bill Pugliano / Getty Images

#TheCompanyOfDads #FathersDay… https://t.co/56uqjbKM5I","shout out to all of our courageous leaddads 💪 

📸 bill pugliano  getty images

thecompanyofdads fathersday… httpstcouqjbkmi",Worldwide,1,0.5267,0.5267,0.0,0.0
2022-06-17 23:51:00+00:00,2022-06-17,23:51:00,BGCHV,Our Learning Center children made crafts and cards for their special fathers and father figures in their lives. The… https://t.co/BsigHDvIe4,our learning center children made crafts and cards for their special fathers and father figures in their lives the… httpstcobsighdvie,"FV & HB, CA",1,0.4019,0.4019,0.0,0.0
2022-06-17 23:50:48+00:00,2022-06-17,23:50:48,SmithfieldMusic,Playing my dad the song written about him for the first time🥺… you gotta wait to see his reaction! It will melt you… https://t.co/kWJbrylRwi,playing my dad the song written about him for the first time🥺… you gotta wait to see his reaction it will melt you… httpstcokwjbrylrwi,Nashville,1,0.2023,0.2023,0.0,0.0
2022-06-17 23:50:41+00:00,2022-06-17,23:50:41,tckcorals,🎩 SAVE 50% Off All Remaining WYSIWYG Retail Prices! Use code: FATHERSDAY - https://t.co/GtwVp6soPz https://t.co/5qmcMBxtxg,🎩 save  off all remaining wysiwyg retail prices use code fathersday  httpstcogtwvpsopz httpstcoqmcmbxtxg,"Buffalo, NY",1,0.4939,0.4939,0.0,0.0
2022-06-17 23:50:24+00:00,2022-06-17,23:50:24,xoxolinxoxo1,Who wants to see the full picture???#FridayVibes #FreeCodeFridayContest #FathersDay #feetworship #feetseller https://t.co/bCRXzaUaEL,who wants to see the full picturefridayvibes freecodefridaycontest fathersday feetworship feetseller httpstcobcrxzauael,,0,0.0,0.0,0.0,0.0
2022-06-17 23:50:02+00:00,2022-06-17,23:50:02,TheViper001,"@POTUS @FLOTUS @BarackObama @MichelleObama I'll be hosting early 10am-1pm at 401 Needham St, Modesto CA. Sunday, Ju… https://t.co/6n3vTZ4rnd",potus flotus barackobama michelleobama ill be hosting early ampm at  needham st modesto ca sunday ju… httpstconvtzrnd,"San Francisco, L.A., N.Y.",-1,-0.4215,0.0,-0.4215,0.0
2022-06-17 23:50:00+00:00,2022-06-17,23:50:00,BeTheMatch,Have you heard Scott's story? @FOX40 caught up with him just in time for #FathersDay to talk about why he biked acr… https://t.co/fQ1HQ7etDk,have you heard scotts story fox caught up with him just in time for fathersday to talk about why he biked acr… httpstcofqhqetdk,"Minneapolis, MN",0,0.0,0.0,0.0,0.0
2022-06-17 23:49:49+00:00,2022-06-17,23:49:49,lazyjackpress,Friday style 👌 #repost #pocketsquares #tgif #friday #pocketsquares #fathersday #giftideas #loveourretailers… https://t.co/QR0VP8sz6O,friday style 👌 repost pocketsquares tgif friday pocketsquares fathersday giftideas loveourretailers… httpstcoqrvpszo,NYC + SF,0,0.5106,0.0,0.0,0.5106
2022-06-17 23:49:35+00:00,2022-06-17,23:49:35,BasKlootwijk1,@TheQuartering For the very old Dads and Grandpa's :  Nosferatu? #FathersDay,thequartering for the very old dads and grandpas   nosferatu fathersday,Salty Spray,0,0.0,0.0,0.0,0.0
2022-06-17 23:49:29+00:00,2022-06-17,23:49:29,ShadyFaceInc,"Still struggling ?
Need A ShadyFace?😎

👉✅SPU 50+ Travel Shade 

👉✅Media Device Holder 

👉✅Movies,Games,Ebooks

👉✅Fu… https://t.co/7T6lNn86lH","still struggling 
need a shadyface😎

👉✅spu  travel shade 

👉✅media device holder 

👉✅moviesgamesebooks

👉✅fu… httpstcotlnnlh","Newport Beach, CA",-1,-0.4215,0.0,-0.4215,0.0
2022-06-17 23:49:22+00:00,2022-06-17,23:49:22,CoveAdvisors,"As a parent, you know how important it is to be there for your family. When you think about the support you want to… https://t.co/rNMaBVyLKA",as a parent you know how important it is to be there for your family when you think about the support you want to… httpstcornmabvylka,"North Vancouver, BC, Canada",1,0.5859,0.5859,0.0,0.0
2022-06-17 23:49:21+00:00,2022-06-17,23:49:21,MrCodyGrace,Happy Father’s Day weekend to all the those awesome dads that do the work and spend time with their kids. Y’all are… https://t.co/IAwYYmICsv,happy father’s day weekend to all the those awesome dads that do the work and spend time with their kids y’all are… httpstcoiawyymicsv,"Tyler, TX",1,0.8316,0.8316,0.0,0.0
2022-06-17 23:49:04+00:00,2022-06-17,23:49:04,realtoddbillion,"FREEDOM PACK SPECIAL OFFER

JUNE TEENTH + FATHERSDAY COMBINED OFFER 

JUST $19 

https://t.co/OJ2Qqus9IE..

OPTIONS… https://t.co/UcVsEXiDoR","freedom pack special offer

june teenth  fathersday combined offer 

just  

httpstcoojqqusie

options… httpstcoucvsexidor","Rancho Cucamonga, CA",1,0.7845,0.7845,0.0,0.0
2022-06-17 23:49:03+00:00,2022-06-17,23:49:03,TheReviewWire,"Enter to win a Best Buzz Kit from @FreedomGrooming (RV $175) Ends 6.17.22 &gt;&gt; https://t.co/AGkreS8n2q 

#fathersday… https://t.co/CqhdEPScZf","enter to win a best buzz kit from freedomgrooming rv  ends  gtgt httpstcoagkresnq 

fathersday… httpstcocqhdepsczf","Cincinnati, Ohio",1,0.8402,0.8402,0.0,0.0
2022-06-17 23:49:02+00:00,2022-06-17,23:49:02,InterConCLE,"Enjoy a memorable dinner with your dad at Table 45 Restaurant, Bar &amp; Lounge. Our fine dining restaurant offers dele… https://t.co/1hbtfvSLNa",enjoy a memorable dinner with your dad at table  restaurant bar amp lounge our fine dining restaurant offers dele… httpstcohbtfvslna,"Cleveland, OH",1,0.6124,0.6124,0.0,0.0
2022-06-17 23:49:00+00:00,2022-06-17,23:49:00,ShadyFaceInc,"Still struggling ?
Need A ShadyFace?😎

👉✅SPU 50+ Travel Shade 

👉✅Media Device Holder 

👉✅Movies,Games,Ebooks

👉✅Fu… https://t.co/6qO1PnAMDz","still struggling 
need a shadyface😎

👉✅spu  travel shade 

👉✅media device holder 

👉✅moviesgamesebooks

👉✅fu… httpstcoqopnamdz","Newport Beach, CA",-1,-0.4215,0.0,-0.4215,0.0
2022-06-17 23:48:57+00:00,2022-06-17,23:48:57,mtt516,"Happy Fathers Day from Easy Breezy Styles! #fathersday #dads #family #fun #happy #shopping 
https://t.co/kS8sEhXfpU… https://t.co/khIOMHqPLQ","happy fathers day from easy breezy styles fathersday dads family fun happy shopping 
httpstcokssehxfpu… httpstcokhiomhqplq",USA,1,0.9274,0.9274,0.0,0.0
2022-06-17 23:48:55+00:00,2022-06-17,23:48:55,ChroniclerOfDad,"She did all the hard work and I get a lifetime supply of coffee mugs and ties.

Seems fair. #FathersDay","she did all the hard work and i get a lifetime supply of coffee mugs and ties

seems fair fathersday","Shelbyville, KY",1,0.2263,0.2263,0.0,0.0
2022-06-17 23:48:34+00:00,2022-06-17,23:48:34,ShadyFaceInc,"Still struggling ?
Need A ShadyFace?😎

👉✅SPU 50+ Travel Shade 

👉✅Media Device Holder 

👉✅Movies,Games,Ebooks

👉✅Fu… https://t.co/c0JaFdwy9e","still struggling 
need a shadyface😎

👉✅spu  travel shade 

👉✅media device holder 

👉✅moviesgamesebooks

👉✅fu… httpstcocjafdwye","Newport Beach, CA",-1,-0.4215,0.0,-0.4215,0.0
2022-06-17 23:48:20+00:00,2022-06-17,23:48:20,ShadyFaceInc,"Still struggling ?
Need A ShadyFace?😎

👉✅SPU 50+ Travel Shade 

👉✅Media Device Holder 

👉✅Movies,Games,Ebooks

👉✅Fu… https://t.co/rjb7LcMU2q","still struggling 
need a shadyface😎

👉✅spu  travel shade 

👉✅media device holder 

👉✅moviesgamesebooks

👉✅fu… httpstcorjblcmuq","Newport Beach, CA",-1,-0.4215,0.0,-0.4215,0.0
2022-06-17 23:48:14+00:00,2022-06-17,23:48:14,philasign,"There are many signs of an amazing dad, and we are proud to feature a few from our #PSCO team. Happy Father’s Day,… https://t.co/Ad1A0n5nEZ",there are many signs of an amazing dad and we are proud to feature a few from our psco team happy father’s day… httpstcoadannez,"Palmyra, NJ",1,0.891,0.891,0.0,0.0
2022-06-17 23:47:34+00:00,2022-06-17,23:47:34,davidja521,"Be sure to check out the London Children's Festival in Victoria park this weekend. A great way to have fun, enjoy t… https://t.co/oMsBMnVoaZ",be sure to check out the london childrens festival in victoria park this weekend a great way to have fun enjoy t… httpstcoomsbmnvoaz,London ON,1,0.9442,0.9442,0.0,0.0
2022-06-17 23:47:25+00:00,2022-06-17,23:47:25,FlumeInternet,"Happy (early) Father's Day! Come check out the 3 vs 3 Basketball Tournament tomorrow, we'll be there to watch!… https://t.co/gd2xEUoLwE",happy early fathers day come check out the  vs  basketball tournament tomorrow well be there to watch… httpstcogdxeuolwe,"New York,NY",1,0.7003,0.7003,0.0,0.0
2022-06-17 23:47:18+00:00,2022-06-17,23:47:18,ChrisMc96358534,"#happyfathersday #fathersday
#Throne #Wichita #Wichitakansas #Kansas #shellknob #shellknobmissouri #Missouri #USA… https://t.co/OLXvpHvRAd","happyfathersday fathersday
throne wichita wichitakansas kansas shellknob shellknobmissouri missouri usa… httpstcoolxvphvrad",,0,0.0,0.0,0.0,0.0
2022-06-17 23:46:59+00:00,2022-06-17,23:46:59,sassylilcat,In my #etsy shop: Clever Brain Anatomy Brooches / Pins / Embellishments https://t.co/W1DBrQ2mKt #birthday… https://t.co/rN06TdU0FO,in my etsy shop clever brain anatomy brooches  pins  embellishments httpstcowdbrqmkt birthday… httpstcorntdufo,Bundalong,1,0.4588,0.4588,0.0,0.0
2022-06-17 23:46:58+00:00,2022-06-17,23:46:58,vmarketingsite,"Elegant Silent Non-Ticking Wall Clock Battery Operated For Office Decor.

https://t.co/dRB6SmM29u 

#clock #clocks… https://t.co/76pgG6lMBz","elegant silent nonticking wall clock battery operated for office decor

httpstcodrbsmmu 

clock clocks… httpstcopgglmbz",,1,0.4767,0.4767,0.0,0.0
2022-06-17 23:46:18+00:00,2022-06-17,23:46:18,TheViper001,@Lexus I'll be hosting early 10am-1pm #juneteenth #FathersDay https://t.co/D8fPRLv3CL,lexus ill be hosting early ampm juneteenth fathersday httpstcodfprlvcl,"San Francisco, L.A., N.Y.",-1,-0.4215,0.0,-0.4215,0.0
2022-06-17 23:46:13+00:00,2022-06-17,23:46:13,CascadeTek,Cascade TEK wishes all DADS around the world a Happy Father's Day.  #manufacturingindustry #manufacturing #sales… https://t.co/M0n7BDAR6Z,cascade tek wishes all dads around the world a happy fathers day  manufacturingindustry manufacturing sales… httpstcomnbdarz,,1,0.6486,0.6486,0.0,0.0
2022-06-17 23:46:03+00:00,2022-06-17,23:46:03,Nedbank,"@SinghNirvaan That is very thoughtful of you, Nirvaan 💚 Good luck! #FathersDay",singhnirvaan that is very thoughtful of you nirvaan 💚 good luck fathersday,South Africa,1,0.8313,0.8313,0.0,0.0
2022-06-17 23:46:00+00:00,2022-06-17,23:46:00,CityDadsGroup,"This dad wants some specific types of ""NOTHING"" for #FathersDay2022 https://t.co/d41T6EJeAr… by @thegoodbaddad… https://t.co/VQwxf3AbLa",this dad wants some specific types of nothing for fathersday httpstcodtejear… by thegoodbaddad… httpstcovqwxfabla,Nationwide,0,0.0,0.0,0.0,0.0
2022-06-17 23:45:50+00:00,2022-06-17,23:45:50,BillyCecchini,Get your Dad something special for Father's day. Stock up today in Lake Oswego. #broadwaycigarco #lakeoswego… https://t.co/ysepM91Xog,get your dad something special for fathers day stock up today in lake oswego broadwaycigarco lakeoswego… httpstcoysepmxog,"Lake Oswego, OR",1,0.4019,0.4019,0.0,0.0
2022-06-17 23:45:50+00:00,2022-06-17,23:45:50,FreightUsa,"Wishing all those hardworking Dads out there a happy Father's Day! 

Need a freight quote? Get one from us:… https://t.co/ISfoY0nTTn","wishing all those hardworking dads out there a happy fathers day 

need a freight quote get one from us… httpstcoisfoynttn",United States,1,0.6808,0.6808,0.0,0.0
2022-06-17 23:45:41+00:00,2022-06-17,23:45:41,jimdiodati,"It’s the annual @NFRibfest at Rapidsview Park in @NiagaraFalls this weekend! The amazing food, vendors, bouncy cast… https://t.co/VDh0cC8687",it’s the annual nfribfest at rapidsview park in niagarafalls this weekend the amazing food vendors bouncy cast… httpstcovdhcc,"Niagara Falls, Canada",1,0.5859,0.5859,0.0,0.0
2022-06-17 23:45:36+00:00,2022-06-17,23:45:36,MegMcMorris,"To the man I get to call Dad. The constant encourager of curiosity and learning. The listener,  big thinker and sto… https://t.co/t27UH853jA",to the man i get to call dad the constant encourager of curiosity and learning the listener  big thinker and sto… httpstcotuhja,,1,0.3612,0.3612,0.0,0.0
2022-06-17 23:45:14+00:00,2022-06-17,23:45:14,MitchReynoldSLF,"As a dad, I know this is the best job in the world. Happy Father’s Day!

#MitchReynolds #FathersDay #sunlife https://t.co/5ddpZSk45T","as a dad i know this is the best job in the world happy father’s day

mitchreynolds fathersday sunlife httpstcoddpzskt","Calgary, Alberta, Canada.",1,0.836,0.836,0.0,0.0
2022-06-17 23:45:10+00:00,2022-06-17,23:45:10,AlamoTees,"Go out and catch up with the father figure in your life this weekend! Celebrate, express gratitude, forgive. 

Have… https://t.co/1hR3JHVcwv","go out and catch up with the father figure in your life this weekend celebrate express gratitude forgive 

have… httpstcohrjhvcwv","San Antonio, Texas",1,0.8442,0.8442,0.0,0.0
2022-06-17 23:45:06+00:00,2022-06-17,23:45:06,stanzacal,you're welcome. your #fathersday plans are taken care of. 😉 https://t.co/mZ1qdVhQvl,youre welcome your fathersday plans are taken care of 😉 httpstcomzqdvhqvl,"San Francisco, CA",1,0.7351,0.7351,0.0,0.0
2022-06-17 23:45:01+00:00,2022-06-17,23:45:01,CoolNCheapDeals,"Watch out, we've got a great deal for #FathersDay

Seiko Men's Japanese Mechanical Automatic Watch, 50% off!… https://t.co/w15xuGeXHU","watch out weve got a great deal for fathersday

seiko mens japanese mechanical automatic watch  off… httpstcowxugexhu",,1,0.6249,0.6249,0.0,0.0
2022-06-17 23:45:00+00:00,2022-06-17,23:45:00,bookfindsgifts,"Save 15% till June 17th
at https://t.co/OdBj07ZvXF

#batman #superman #marvel #BlackWidow #StarWars #books #book… https://t.co/RMd0Kgdi1O","save  till june th
at httpstcoodbjzvxf

batman superman marvel blackwidow starwars books book… httpstcormdkgdio",United States,1,0.7184,0.7184,0.0,0.0
2022-06-17 23:44:43+00:00,2022-06-17,23:44:43,RyanSteckAuthor,I'm back on Twitch tonight at 8pm ET with the PERFECT #FathersDay giveaway that you can win for your dad: A *SIGNED… https://t.co/2Y9kKG8q1C,im back on twitch tonight at pm et with the perfect fathersday giveaway that you can win for your dad a signed… httpstcoykkgqc,,1,0.8176,0.8176,0.0,0.0
2022-06-17 23:44:36+00:00,2022-06-17,23:44:36,Natalie_CDT,I would like to encourage all the single mothers to rise above discrediting their children's fathers this year and… https://t.co/t63AXzMpeM,i would like to encourage all the single mothers to rise above discrediting their childrens fathers this year and… httpstcotaxzmpem,London,1,0.7003,0.7003,0.0,0.0
2022-06-17 23:44:25+00:00,2022-06-17,23:44:25,pdenglert,"I loved reading #The5MasculineInstincts. Check out @thepastorwriter on @GMA #FaithFriday / Great for #FathersDay 

https://t.co/EIu6G0gjRA","i loved reading themasculineinstincts check out thepastorwriter on gma faithfriday  great for fathersday 

httpstcoeiuggjra","Rochester, NY",1,0.8402,0.8402,0.0,0.0
2022-06-17 23:43:54+00:00,2022-06-17,23:43:54,vmarketingsite,Charming wooden wall clock with Westminster chimes makes an excellent gift idea for someone special.… https://t.co/PRUb7RdbMn,charming wooden wall clock with westminster chimes makes an excellent gift idea for someone special… httpstcoprubrdbmn,,1,0.886,0.886,0.0,0.0
2022-06-17 23:43:49+00:00,2022-06-17,23:43:49,Katty_bluetulip,I miss you daddy! #FathersDay https://t.co/alqxLZtVUn,i miss you daddy fathersday httpstcoalqxlztvun,"El Salvador, Centro América",-1,-0.1531,0.0,-0.1531,0.0
2022-06-17 23:43:32+00:00,2022-06-17,23:43:32,BillyCecchini,Get your Dad something special for Father's day. Stock up today in Lake Oswego. #broadwaycigarco #lakeoswego… https://t.co/dgK7N3MwGk,get your dad something special for fathers day stock up today in lake oswego broadwaycigarco lakeoswego… httpstcodgknmwgk,"Lake Oswego, OR",1,0.4019,0.4019,0.0,0.0
2022-06-17 23:43:09+00:00,2022-06-17,23:43:09,iBeckTech,It’s a shame that Mike Baxter from @LastManStanding is not on this list. #LastManStanding #FathersDay https://t.co/xj0xQSrRzP,it’s a shame that mike baxter from lastmanstanding is not on this list lastmanstanding fathersday httpstcoxjxqsrrzp,"Des Moines, Iowa ",-1,-0.4767,0.0,-0.4767,0.0
2022-06-17 23:43:01+00:00,2022-06-17,23:43:01,DDPYoga,"#DDPYDad Mark DeCicco is proof that #DDPYworks

""This wasn't overnight. I had to face a LOT of hard truths about my… https://t.co/r9TQMSNR8M","ddpydad mark decicco is proof that ddpyworks

this wasnt overnight i had to face a lot of hard truths about my… httpstcortqmsnrm",,1,0.34,0.34,0.0,0.0
2022-06-17 23:43:00+00:00,2022-06-17,23:43:00,a_mart_official,"📢Father's day is just around the corner so hurry and grab a gift 👔Dad👔 will love!🚨

#asianmart #incense #discount… https://t.co/1aGiBBlGAV","📢fathers day is just around the corner so hurry and grab a gift 👔dad👔 will love🚨

asianmart incense discount… httpstcoagibblgav",,1,0.4404,0.4404,0.0,0.0
2022-06-17 23:42:47+00:00,2022-06-17,23:42:47,mijoinBaja,@OANN Must be an anomaly! Everything done has put a family of a lower middle class guy in great shape for the finan… https://t.co/jdKN0kPxtD,oann must be an anomaly everything done has put a family of a lower middle class guy in great shape for the finan… httpstcojdknkpxtd,White Sands,1,0.4404,0.4404,0.0,0.0
2022-06-17 23:42:43+00:00,2022-06-17,23:42:43,ShadyFaceInc,"Still struggling ?
Need A ShadyFace?😎

👉✅SPU 50+ Travel Shade 

👉✅Media Device Holder 

👉✅Movies,Games,Ebooks

👉✅Fu… https://t.co/GSJpDBZ2Ij","still struggling 
need a shadyface😎

👉✅spu  travel shade 

👉✅media device holder 

👉✅moviesgamesebooks

👉✅fu… httpstcogsjpdbzij","Newport Beach, CA",-1,-0.4215,0.0,-0.4215,0.0
2022-06-17 23:42:20+00:00,2022-06-17,23:42:20,FamilyTheater1,"Alex Dee came to Hollywood to be an actor, but an encounter with Venerable Patrick Peyton in the editing suite at F… https://t.co/KRNjyxqy6P",alex dee came to hollywood to be an actor but an encounter with venerable patrick peyton in the editing suite at f… httpstcokrnjyxqyp,"Hollywood, California",0,0.0,0.0,0.0,0.0
2022-06-17 23:42:16+00:00,2022-06-17,23:42:16,QSingleton,#fathersday with #friends #oldfashioned #whiskey #samsung #rayban @ Washington Monument (Baltimore) https://t.co/OMfsMefqy9,fathersday with friends oldfashioned whiskey samsung rayban  washington monument baltimore httpstcoomfsmefqy,"Bay Area, CA",0,0.4767,0.0,0.0,0.4767
2022-06-17 23:42:03+00:00,2022-06-17,23:42:03,Emmett66902572,"Need a modern backyard design?
Contact me: https://t.co/9Bl0whzSpi
#3dlandscapedesign #Smackdown #swimmingpool… https://t.co/qapWxdIPYs","need a modern backyard design
contact me httpstcoblwhzspi
dlandscapedesign smackdown swimmingpool… httpstcoqapwxdipys",,0,0.0,0.0,0.0,0.0
2022-06-17 23:41:55+00:00,2022-06-17,23:41:55,AbirThakurta,Love the campaign and terrible terrible puns about recliners and Dads from our marketing team. Equally love that we… https://t.co/AJa8buhCkE,love the campaign and terrible terrible puns about recliners and dads from our marketing team equally love that we… httpstcoajabuhcke,"Atlanta, GA",1,0.4939,0.4939,0.0,0.0
